teamname,teamwebsite,otherwebsite,teamnameshort,sportid,eventgroupid,sport,jsonobject,secretsheader
Houston Rockets,https://www.nba.com/rockets/,None,Rockets,4,42648,NBA,"{""teamname"": ""Houston Rockets"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/rockets/""}",team_list_NBA_Rockets
Indiana Pacers,https://www.nba.com/pacers/,None,Pacers,4,42648,NBA,"{""teamname"": ""Indiana Pacers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/pacers/""}",team_list_NBA_Pacers
Los Angeles Clippers,https://www.nba.com/clippers/,None,Clippers,4,42648,NBA,"{""teamname"": ""Los Angeles Clippers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/clippers/""}",team_list_NBA_Clippers
Los Angeles Lakers,https://www.nba.com/lakers/,None,Lakers,4,42648,NBA,"{""teamname"": ""Los Angeles Lakers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/lakers/""}",team_list_NBA_Lakers
Memphis Grizzlies,https://www.nba.com/grizzlies/,None,Grizzlies,4,42648,NBA,"{""teamname"": ""Memphis Grizzlies"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/grizzlies/""}",team_list_NBA_Grizzlies
Miami Heat,https://www.nba.com/heat/,None,Heat,4,42648,NBA,"{""teamname"": ""Miami Heat"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/heat/""}",team_list_NBA_Heat
Milwaukee Bucks,https://www.nba.com/bucks/,None,Bucks,4,42648,NBA,"{""teamname"": ""Milwaukee Bucks"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/bucks/""}",team_list_NBA_Bucks
Minnesota Timberwolves,https://www.nba.com/timberwolves/,None,Timberwolves,4,42648,NBA,"{""teamname"": ""Minnesota Timberwolves"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/timberwolves/""}",team_list_NBA_Timberwolves
New Orleans Pelicans,https://www.nba.com/pelicans/,None,Pelicans,4,42648,NBA,"{""teamname"": ""New Orleans Pelicans"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/pelicans/""}",team_list_NBA_Pelicans
New York Knicks,https://www.nba.com/knicks/,None,Knicks,4,42648,NBA,"{""teamname"": ""New York Knicks"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/knicks/""}",team_list_NBA_Knicks
Oklahoma City Thunder,https://www.nba.com/thunder/,None,Thunder,4,42648,NBA,"{""teamname"": ""Oklahoma City Thunder"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/thunder/""}",team_list_NBA_Thunder
Orlando Magic,https://www.nba.com/magic/,None,Magic,4,42648,NBA,"{""teamname"": ""Orlando Magic"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/magic/""}",team_list_NBA_Magic
Philadelphia 76ers,https://www.nba.com/sixers/,None,76ers,4,42648,NBA,"{""teamname"": ""Philadelphia 76ers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/sixers/""}",team_list_NBA_76ers
Phoenix Suns,https://www.nba.com/suns/,None,Suns,4,42648,NBA,"{""teamname"": ""Phoenix Suns"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/suns/""}",team_list_NBA_Suns
Portland Trail Blazers,https://www.nba.com/blazers/,None,TrailBlazers,4,42648,NBA,"{""teamname"": ""Portland Trail Blazers"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/blazers/""}",team_list_NBA_TrailBlazers
Sacramento Kings,https://www.nba.com/kings/,None,Kings,4,42648,NBA,"{""teamname"": ""Sacramento Kings"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/kings/""}",team_list_NBA_Kings
San Antonio Spurs,https://www.nba.com/spurs/,None,Spurs,4,42648,NBA,"{""teamname"": ""San Antonio Spurs"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/spurs/""}",team_list_NBA_Spurs
Toronto Raptors,https://www.nba.com/raptors/,None,Raptors,4,42648,NBA,"{""teamname"": ""Toronto Raptors"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/raptors/""}",team_list_NBA_Raptors
Utah Jazz,https://www.nba.com/jazz/,None,Jazz,4,42648,NBA,"{""teamname"": ""Utah Jazz"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/jazz/""}",team_list_NBA_Jazz
Washington Wizards,https://www.nba.com/wizards/,None,Wizards,4,42648,NBA,"{""teamname"": ""Washington Wizards"", ""sportid"": 4, ""eventgroupid"": 42648, ""teamwebsite"": ""https://www.nba.com/wizards/""}",team_list_NBA_Wizards
