teamname,teamwebsite,otherwebsite,teamnameshort,sportid,eventgroupid,sport,jsonobject,secretsheader
Arizona Diamondbacks,https://www.mlb.com/dbacks,None,Diamondbacks,2,84240,MLB,"{""teamname"": ""Arizona Diamondbacks"", ""sportid"": 2, ""eventgroupid"": 84240, ""teamwebsite"": ""https://www.mlb.com/dbacks""}",team_list_MLB_Diamondbacks
Colorado Rockies,https://www.mlb.com/rockies,None,Rockies,2,84240,MLB,"{""teamname"": ""Colorado Rockies"", ""sportid"": 2, ""eventgroupid"": 84240, ""teamwebsite"": ""https://www.mlb.com/rockies""}",team_list_MLB_Rockies
Los Angeles Dodgers,https://www.mlb.com/dodgers,None,Dodgers,2,84240,MLB,"{""teamname"": ""Los Angeles Dodgers"", ""sportid"": 2, ""eventgroupid"": 84240, ""teamwebsite"": ""https://www.mlb.com/dodgers""}",team_list_MLB_Dodgers
San Diego Padres,https://www.mlb.com/padres,None,Padres,2,84240,MLB,"{""teamname"": ""San Diego Padres"", ""sportid"": 2, ""eventgroupid"": 84240, ""teamwebsite"": ""https://www.mlb.com/padres""}",team_list_MLB_Padres
San Francisco Giants,https://www.mlb.com/giants,None,Giants,2,84240,MLB,"{""teamname"": ""San Francisco Giants"", ""sportid"": 2, ""eventgroupid"": 84240, ""teamwebsite"": ""https://www.mlb.com/giants""}",team_list_MLB_Giants
Arizona Cardinals,https://www.azcardinals.com/,https://nfl.com/teams/arizona-cardinals/,Cardinals,1,88808,NFL,"{""teamname"": ""Arizona Cardinals"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.azcardinals.com/""}",team_list_NFL_Cardinals
Atlanta Falcons,https://www.atlantafalcons.com/,https://nfl.com/teams/atlanta-falcons/,Falcons,1,88808,NFL,"{""teamname"": ""Atlanta Falcons"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.atlantafalcons.com/""}",team_list_NFL_Falcons
Carolina Panthers,https://www.panthers.com/,https://nfl.com/teams/carolina-panthers/,Panthers,1,88808,NFL,"{""teamname"": ""Carolina Panthers"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.panthers.com/""}",team_list_NFL_Panthers
Chicago Bears,https://www.chicagobears.com/,https://nfl.com/teams/chicago-bears/,Bears,1,88808,NFL,"{""teamname"": ""Chicago Bears"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.chicagobears.com/""}",team_list_NFL_Bears
Dallas Cowboys,https://www.dallascowboys.com/,https://nfl.com/teams/dallas-cowboys/,Cowboys,1,88808,NFL,"{""teamname"": ""Dallas Cowboys"", ""sportid"": 1, ""eventgroupid"": 88808, ""teamwebsite"": ""https://www.dallascowboys.com/""}",team_list_NFL_Cowboys
